Review_ID,Stemming,Lemmatization
1,"Porter: the new devic is sleek and fast . i love the camera qualiti !
Snowball: the new devic is sleek and fast . i love the camera qualiti !
Lancaster: the new dev is sleek and fast . i lov the camer qual !
Krovetz: the new device is sleek and fast . i love the camera quality !","SpaCy: the new device be sleek and fast . I love the camera quality !
TextBlob: The new device is sleek and fast I love the camera quality
Stanza: the new device be sleek and fast . I love the camera quality !
WordNet: the new device be sleek and fast . i love the camera quality !"
2,"Porter: amaz display and batteri life , but the price is a bit high .
Snowball: amaz display and batteri life , but the price is a bit high .
Lancaster: amaz display and battery lif , but the pric is a bit high .
Krovetz: amazing display and battery life , but the price is a bit high .","SpaCy: amazing display and battery life , but the price be a bit high .
TextBlob: Amazing display and battery life but the price is a bit high
Stanza: amazing display and battery life , but the price be a bit high .
WordNet: amazing display and battery life , but the price be a bit high ."
3,"Porter: i had a few issu with the initi setup , but custom servic wa veri help .
Snowball: i had a few issu with the initi setup , but custom servic was veri help .
Lancaster: i had a few issu with the init setup , but custom serv was very help .
Krovetz: i had a few issue with the initial setup , but customer service was very helpful .","SpaCy: I have a few issue with the initial setup , but customer service be very helpful .
TextBlob: I had a few issue with the initial setup but customer service wa very helpful
Stanza: I have a few issue with the initial setup , but customer service be very helpful .
WordNet: i have a few issue with the initial setup , but customer service be very helpful ."
4,"Porter: solid perform overal ; the design is veri modern .
Snowball: solid perform overal ; the design is veri modern .
Lancaster: solid perform overal ; the design is very modern .
Krovetz: solid performance overall ; the design is very modern .","SpaCy: solid performance overall ; the design be very modern .
TextBlob: Solid performance overall the design is very modern
Stanza: solid performance overall ; the design be very modern .
WordNet: solid performance overall ; the design be very modern ."
5,"Porter: the devic exceed my expect in everi way .
Snowball: the devic exceed my expect in everi way .
Lancaster: the dev excess my expect in every way .
Krovetz: the device exceed my expectations in every way .","SpaCy: the device exceed my expectation in every way .
TextBlob: The device exceeded my expectation in every way
Stanza: the device exceed my expectation in every way .
WordNet: the device exceed my expectation in every way ."
6,"Porter: decent phone with great featur , though the softwar could be improv .
Snowball: decent phone with great featur , though the softwar could be improv .
Lancaster: dec phon with gre feat , though the softw could be improv .
Krovetz: decent phone with great features , though the software could be improve .","SpaCy: decent phone with great feature , though the software could be improve .
TextBlob: Decent phone with great feature though the software could be improved
Stanza: Decent phone with great feature , though the software could be improve .
WordNet: decent phone with great feature , though the software could be improve ."
7,"Porter: the batteri last all day , even with heavi usag .
Snowball: the batteri last all day , even with heavi usag .
Lancaster: the battery last al day , ev with heavy us .
Krovetz: the battery last all day , even with heavy usage .","SpaCy: the battery last all day , even with heavy usage .
TextBlob: The battery last all day even with heavy usage
Stanza: the battery last all day , even with heavy usage .
WordNet: the battery last all day , even with heavy usage ."
8,"Porter: excel build qualiti and perform . highli recommend .
Snowball: excel build qualiti and perform . high recommend .
Lancaster: excel build qual and perform . high recommend .
Krovetz: excellent build quality and performance . highly recommend .","SpaCy: excellent build quality and performance . highly recommend .
TextBlob: Excellent build quality and performance Highly recommended
Stanza: excellent build quality and performance . highly recommend .
WordNet: excellent build quality and performance . highly recommended ."
9,"Porter: had a minor glitch with the fingerprint sensor , but overal a good purchas .
Snowball: had a minor glitch with the fingerprint sensor , but overal a good purchas .
Lancaster: had a min glitch with the fingerprint sens , but overal a good purchas .
Krovetz: had a minor glitch with the fingerprint sensor , but overall a good purchase .","SpaCy: have a minor glitch with the fingerprint sensor , but overall a good purchase .
TextBlob: Had a minor glitch with the fingerprint sensor but overall a good purchase
Stanza: have a minor glitch with the fingerprint sensor , but overall a good purchase .
WordNet: have a minor glitch with the fingerprint sensor , but overall a good purchase ."
10,"Porter: a well-design phone with fast perform . a bit pricey but worth it .
Snowball: a well-design phone with fast perform . a bit pricey but worth it .
Lancaster: a well-designed phon with fast perform . a bit pricey but wor it .
Krovetz: a well-designed phone with fast performance . a bit pricey but worth it .","SpaCy: a well - design phone with fast performance . a bit pricey but worth it .
TextBlob: A well-designed phone with fast performance A bit pricey but worth it
Stanza: a well - design phone with fast performance . a bit pricey but worth it .
WordNet: a well-designed phone with fast performance . a bit pricey but worth it ."
